region,townsize,gender,age,agecat,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,totalspend,pred_total_spend
1,1.0,1,57,5,17,4,4,0,24,5,0,171,5.14166355650266,5,9.5,1.803195,0.5895600914512608,14.441805,2.670127125652831,0,5,1,16,3,3,1,0,1,0,0,0,0,0,1,1,8,3,2,1,1,75.8,3,0,1,1,1,19.0,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,5,3,2,4,0,13,4,1,3,48,0,4.15,1.423108334242607,214.85,5.3699401102210045,1,28.75,3.3586377672433594,1444.65,7.275622356674983,1,43.15,3.764682417529437,1990.25,7.596015537968688,1,29.25,3.3758795736778655,1315.0,7.181591944611865,1,40.2,3.6938669956249757,1840.45,7.517765385919225,0,1,1,3,1,1,0,1,1,1,17,1,1,1,1,1,1,1,1,0,0,0,1,402.17,527.8133094864036
5,2.0,0,63,5,14,2,6,1,29,5,0,424,6.049733455231958,5,10.7,13.111352,2.573478419842022,32.256648,3.4737241615328305,0,4,1,20,5,2,0,0,0,0,0,0,0,0,1,3,29,5,3,1,0,88.60000000000001,3,0,1,1,1,29.0,1,0,0,0,1,0,0,0,0,1,9,3,0,0,1,3,3,2,0,36,5,2,3,3,1,29,5,0,1,70,0,34.8,3.5496173867804286,2540.15,7.839978413387008,1,45.25,3.8122026701459353,3165.45,8.060050504566432,0,0.0,,0.0,,1,19.75,2.9831534913471307,1325.0,7.1891677384203225,0,0.0,,0.0,,1,1,0,0,1,0,1,1,1,1,24,1,1,1,0,0,0,0,0,1,0,0,0,1294.06,676.4117289068824
5,5.0,1,28,3,11,1,1,0,4,2,0,23,3.1354942159291497,1,4.8,0.19099200000000002,-1.6555237366294544,0.913008,-0.09101063610354213,0,1,1,12,2,3,10,1,0,0,0,0,0,9,1,1,5,2,0,-1,-1,-1.0,-1,-1,1,4,3,30.0,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,3,3,3,3,0,10,3,1,1,34,0,3.45,1.2383742310432684,110.45,4.7045629298661265,1,33.0,3.4965075614664802,1099.65,7.002747226337705,0,0.0,,0.0,,1,16.5,2.803360380906535,545.0,6.300785794663244,0,0.0,,0.0,,0,0,0,0,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,0,1,0,0,586.78,282.0922544815523
1,1.0,1,78,6,16,3,1,0,10,3,1,22,3.091042453358316,1,15.2,0.6922079999999999,-0.36786879049431287,2.651792,0.9752356378751661,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,29,5,2,1,1,10.8,1,0,1,3,2,23.0,1,0,1,0,0,0,0,0,0,0,9,2,0,1,0,2,3,1,0,10,3,3,2,2,0,7,3,1,1,14,0,7.3,1.9878743481543455,85.6,4.449685283147696,0,0.0,,0.0,,1,24.85,3.2128577525426376,341.75,5.834079475604059,1,31.75,3.457892725338701,350.0,5.857933154483459,0,0.0,,0.0,,1,0,0,1,0,0,0,0,1,1,22,1,1,0,0,1,1,0,0,0,0,0,0,8.11,249.65787780476938
3,3.0,0,61,5,16,3,1,0,4,2,0,35,3.5553480614894135,2,10.100000000000001,1.2337150000000001,0.2100299425688263,2.301285,0.8334676625749683,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,2,29,5,4,0,0,9.4,1,1,0,1,1,34.0,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,5,4,2,3,0,15,4,0,3,53,0,11.2,2.4159137783010487,567.05,6.34044748326134,0,0.0,,0.0,,0,0.0,,0.0,,1,9.5,2.2512917986064953,480.0,6.173786103901937,0,0.0,,0.0,,0,1,0,1,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0,512.36,635.8748815278539
2,4.0,0,70,6,17,4,2,1,2,2,0,28,3.332204510175204,2,9.3,1.1952360000000002,0.17834365542473107,1.408764,0.34271272421066723,0,1,1,17,4,2,9,0,0,1,0,0,0,8,0,2,14,3,5,1,0,15.700000000000001,1,0,1,1,1,29.0,1,0,0,0,0,0,0,0,0,0,9,6,1,0,1,1,1,3,1,26,5,4,2,4,0,17,5,1,2,59,1,14.25,2.6567569067146595,805.8,6.691835572757247,1,23.5,3.1570004211501135,1366.65,7.220117768827977,0,0.0,,0.0,,1,15.25,2.7245795030534206,840.0,6.733401891837359,0,0.0,,0.0,,1,0,1,3,0,1,0,1,0,1,21,1,1,1,0,1,0,1,0,0,0,1,0,347.25,578.955855731459
4,1.0,0,61,5,14,2,6,0,18,5,1,12,2.4849066497880004,1,21.5,0.56502,-0.5708941502321102,2.01498,0.700609269791075,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,12,3,3,1,0,5.800000000000001,1,1,0,4,3,25.0,1,0,0,1,0,0,0,0,0,0,9,3,1,0,0,1,1,2,0,24,5,3,3,1,0,22,5,0,2,61,0,8.35,2.122261538862764,476.95,6.167411663591217,0,0.0,,0.0,,1,29.1,3.370738174177447,1790.8,7.49041772636681,1,11.5,2.4423470353692043,675.0,6.51471269087253,0,0.0,,0.0,,0,0,0,3,0,1,0,0,0,1,13,1,0,1,0,1,0,1,0,0,0,0,0,308.66,386.6391220988062
3,4.0,0,37,4,11,1,1,1,2,2,0,29,3.367295829986474,2,15.7,3.319137,1.1997048093791662,1.233863,0.21014989825020883,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,10,3,0,-1,-1,-1.0,-1,-1,1,5,3,29.0,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,4,4,2,2,0,11,4,1,1,39,0,13.1,2.5726122302071057,504.45,6.223468726854389,1,28.5,3.349904087274605,1028.1,6.935467717548673,1,43.5,3.7727609380946383,1663.95,7.416949572852778,1,10.5,2.3513752571634776,380.0,5.940171252720432,1,31.5,3.449987545831587,1199.2,7.089409946788388,1,1,1,4,1,1,1,1,1,1,21,0,1,1,1,1,1,1,0,1,0,0,0,744.08,435.7772190874141
1,3.0,0,39,4,12,2,1,0,5,2,0,130,4.867534450455582,5,11.3,4.68611,1.5446028139884935,10.003890000000002,2.3029740173531614,0,5,1,14,2,4,5,0,0,0,0,0,0,5,1,1,12,3,2,1,0,49.2,3,1,0,1,1,32.0,1,0,0,1,1,0,0,0,0,0,9,1,1,1,1,4,4,4,1,2,2,3,2,2,0,1,1,0,1,6,0,1.5,0.4054651081081644,11.15,2.411439497906128,1,13.25,2.583997552432231,93.0,4.532599493153256,0,0.0,,0.0,,1,24.5,3.1986731175506815,140.0,4.941642422609304,0,0.0,,0.0,,0,0,0,1,1,0,1,1,0,1,32,1,1,1,0,1,1,0,0,0,0,0,0,698.88,553.6177579351472
4,3.0,1,73,6,14,2,3,0,28,5,1,69,4.23410650459726,3,14.799999999999999,1.1641679999999999,0.1520066687915957,9.047832,2.2025251710021814,0,3,1,15,3,2,0,0,0,0,0,0,0,0,0,2,38,5,1,1,1,22.8,2,1,0,1,1,27.0,1,0,0,1,0,0,0,1,0,0,9,5,0,0,0,2,2,3,0,32,5,3,2,4,1,24,5,0,3,62,0,25.45,3.2367157429965316,1565.6,7.356024416081866,1,17.75,2.8763855159214247,1031.4,6.9386723816168585,1,47.15,3.8533340090794663,2874.15,7.963512257343818,1,10.0,2.302585092994046,595.0,6.38856140554563,1,53.2,3.9740583963475986,3245.6,8.085055511892238,1,1,1,2,1,1,1,1,1,1,22,1,1,1,1,1,1,1,0,1,0,0,0,293.11,386.8619190124109
5,4.0,1,26,3,16,3,2,0,0,1,0,24,3.1780538303479458,1,11.700000000000001,1.297296,0.2602820982631665,1.5107040000000003,0.4125757673432122,1,2,1,17,4,6,1,0,1,0,0,0,0,0,0,2,5,2,4,0,0,9.8,1,0,0,1,1,27.0,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,4,1,1,1,8,3,1,2,3,0,4,2,1,3,26,1,5.8,1.7578579175523736,149.4,5.006627272698717,0,0.0,,0.0,,1,27.05,3.2976870052924907,728.55,6.591056257459863,1,5.5,1.7047480922384253,145.0,4.976733742420574,0,0.0,,0.0,,1,0,0,4,0,0,0,0,1,1,17,1,1,1,0,1,1,1,1,0,0,0,0,548.6700000000001,330.65200926929765
2,1.0,1,24,2,17,4,6,0,1,1,0,29,3.367295829986474,2,14.000000000000002,1.3925800000000002,0.33115814179744424,2.6674200000000003,0.9811117131161149,1,1,0,-1,-1,1,12,0,1,0,0,0,0,11,1,1,4,2,0,-1,-1,-1.0,-1,-1,0,10,5,14.0,0,0,1,0,0,0,1,1,0,1,9,6,0,1,1,4,1,4,0,5,2,3,3,1,0,5,2,1,1,11,1,3.95,1.3737155789130306,42.4,3.7471483622379123,0,0.0,,0.0,,1,19.65,2.9780773383152703,172.75,5.151845462647779,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,1,0,304.5,303.398098266582
3,1.0,1,77,6,15,3,1,0,26,5,1,11,2.3978952727983707,1,10.2,0.255816,-1.3632968429271917,0.8661839999999998,-0.1436579218568565,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,1,4,57,5,2,1,0,3.1,1,0,0,1,1,21.0,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,5,4,4,1,0,30,5,1,2,72,0,89.45,4.493679809954728,6495.7,8.77889569850907,1,75.5,4.324132656254979,5310.55,8.577450687026564,0,0.0,,0.0,,1,40.75,3.7074558396868715,2865.0,7.9603236291488395,0,0.0,,0.0,,1,0,0,0,1,1,0,0,0,1,23,1,1,1,0,0,0,0,0,1,0,0,0,302.01,224.20990888173048
5,3.0,0,36,4,19,4,1,1,3,2,0,30,3.4011973816621555,2,15.5,0.41385,-0.8822516896507323,4.23615,1.4436548378770864,0,4,0,-1,-1,1,7,0,0,0,0,0,0,7,1,3,16,4,3,1,0,13.100000000000001,1,0,1,1,1,24.0,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,3,0,10,3,2,1,4,0,11,4,0,3,37,0,6.7,1.9021075263969205,233.85,5.454679884171895,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,2,0,0,0,0,0,1,15,1,1,1,0,1,1,1,0,0,0,0,0,479.87,522.4092205608099
3,5.0,0,55,5,14,2,3,0,23,5,0,80,4.382026634673881,4,6.5,0.0312,-3.4673371841667002,5.1688,1.6426405532618187,0,5,0,-1,-1,1,9,2,0,0,0,0,0,7,1,3,27,5,4,1,0,35.0,2,0,1,1,1,25.0,1,0,1,1,0,0,0,0,1,0,9,6,0,0,0,2,4,3,1,21,5,4,3,2,0,17,5,0,1,47,0,12.25,2.505525936990736,524.4,6.262254751889545,0,0.0,,0.0,,0,0.0,,0.0,,1,22.25,3.1023420086122493,1000.0,6.907755278982137,0,0.0,,0.0,,0,0,0,0,0,0,1,1,0,1,25,1,1,1,0,1,0,1,0,1,0,1,0,465.42999999999995,486.7303202074489
2,2.0,1,60,5,18,4,1,0,13,4,0,51,3.9318256327243257,3,7.8,1.2093120000000002,0.19005160285586523,2.768688,1.018373561784063,0,5,1,13,2,2,2,2,0,0,0,0,0,0,0,2,27,5,2,1,0,25.200000000000003,2,0,1,1,1,26.0,1,0,1,1,0,0,0,0,0,0,9,6,1,1,0,4,2,2,0,38,5,2,4,3,1,29,5,1,3,71,0,36.35,3.5931942039795284,2586.85,7.858196198286209,1,51.25,3.9367156180185177,3624.85,8.195568187122284,1,55.15,4.0100567456995115,4064.25,8.309984503114332,1,28.5,3.349904087274605,2090.0,7.644919344958857,1,55.8,4.021773869387265,3819.5,8.247874802981414,1,1,1,4,0,0,1,0,1,1,20,1,1,1,0,1,1,1,1,1,0,0,1,156.99,338.5282926519465
1,1.0,1,59,5,8,1,2,1,4,2,0,30,3.4011973816621555,2,2.8000000000000003,0.26292000000000004,-1.3359054755867614,0.5770799999999999,-0.5497743739045656,0,5,1,10,1,4,1,0,1,0,0,0,0,0,0,2,6,2,0,-1,-1,-1.0,-1,-1,1,4,3,15.0,0,0,0,1,0,0,0,0,0,0,9,4,1,1,0,2,1,1,1,2,2,1,2,2,1,1,1,0,1,3,0,5.5,1.7047480922384253,19.35,2.962692419475791,1,19.75,2.9831534913471307,52.6,3.9627161197436642,0,0.0,,0.0,,1,30.0,3.4011973816621555,45.0,3.8066624897703196,0,0.0,,0.0,,0,0,0,0,1,1,1,1,0,1,29,1,1,0,0,0,0,0,0,0,0,0,0,444.14,349.59701954057454
1,1.0,0,28,3,11,1,2,1,1,1,0,17,2.833213344056216,1,8.200000000000001,0.15055200000000002,-1.893446739519585,1.243448,0.21788816593620455,1,2,1,14,2,6,1,1,0,0,0,0,0,0,0,1,5,2,3,1,0,8.200000000000001,1,0,0,1,1,23.0,1,0,0,0,0,0,0,0,0,0,9,5,1,0,1,3,1,2,0,7,3,5,4,1,0,6,3,1,3,16,0,7.85,2.060513531794317,116.3,4.7561730595246186,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,0,0,0,1,0,0,1,30,1,0,0,0,0,0,1,0,0,0,0,0,454.36,314.25540568100223
3,3.0,0,53,5,20,5,2,0,11,4,0,141,4.948759890378168,5,9.9,9.589833,2.2607034747708337,4.369167000000001,1.4745723730886375,0,5,1,17,4,3,1,0,1,0,0,0,0,0,1,1,20,4,0,-1,-1,-1.0,-1,-1,0,10,5,23.0,0,1,0,0,0,0,0,1,0,1,9,6,1,1,1,4,2,1,0,13,4,1,4,3,0,8,3,0,3,36,1,3.4,1.2237754316221157,122.0,4.804021044733257,1,29.0,3.367295829986474,1042.4,6.9492810258106354,1,49.25,3.8969093676180977,1693.6,7.434611719820655,1,22.25,3.1023420086122493,790.0,6.672032945461067,1,61.25,4.114963849424837,2209.2,7.700385738027032,1,1,1,3,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,0,0,0,0,644.6700000000001,613.7887369907739
